ctr,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,dff,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Test
Hungary,Hungary,"20,450",,702 ,,"4,644",,"15,104",35,"2,118",73,"645,492"
Ivory Coast,Ivory Coast,"19,430",,120 ,,"18,875",,435,,733,5,"154,970"
Bulgaria,Bulgaria,"19,283",,779 ,,"13,867",,"4,637",29,"2,780",112,"502,592"
North Macedonia,North Macedonia,"17,049",,710 ,,"14,186",,"2,153",3,"8,183",341,"179,404"
Greece,Greece,"16,286",,357 ,,"9,989",,"5,940",73,"1,564",34,"1,233,229"
Madagascar,Madagascar,"16,167",,226 ,,"14,788",,"1,153",20,581,8,"68,564"
Croatia,Croatia,"15,340",,257 ,,"13,815",,"1,268",27,"3,742",63,"273,684"
Senegal,Senegal,"14,795",,303 ,,"11,718",,"2,774",23,878,18,"169,378"
Zambia,Zambia,"14,443",,332 ,,"13,629",,482,,781,18,"144,624"
Sudan,Sudan,"13,578",,836 ,,"6,760",,"5,982",,308,19,
Norway,Norway,"13,277",,267 ,,"10,371",,"2,639",2,"2,445",49,"985,249"
Albania,Albania,"12,787",,370 ,,"7,139",,"5,278",18,"4,444",129,"77,852"
Tunisia,Tunisia,"12,479",,174 ,,"2,386",,"9,919",88,"1,053",15,"208,632"
Namibia,Namibia,"10,663",,117 ,,"8,431",,"2,115",11,"4,179",46,"91,902"
DRC,DRC,"10,537",,271 ,,"10,041",,225,,117,3,
Malaysia,Malaysia,"10,505",,133 ,,"9,602",,770,8,324,4,"1,451,697"
Guinea,Guinea,"10,434",,65 ,,"9,801",,568,24,790,5,"32,458"
Maldives,Maldives,"9,885",,34 ,,"8,530",,"1,321",12,"18,215",63,"142,374"
French Guiana,French Guiana,"9,762",,65 ,,"9,431",,266,6,"32,496",216,"63,714"
Tajikistan,Tajikistan,"9,475",,74 ,,"8,244",,"1,157",,988,8,
Montenegro,Montenegro,"9,428",,151  ,,"5,728",,"3,549",,"15,011",240,"64,255"
Finland,Finland,"9,288",,343 ,,"7,850",,"1,095",4,"1,676",62,"926,792"
Gabon,Gabon,"8,716",,54 ,,"7,906",,756,2,"3,895",24,"157,828"
Haiti,Haiti,"8,646",,225 ,,"6,551",,"1,870",,756,20,"26,975"
Luxembourg,Luxembourg,"8,090",,124 ,,"6,862",,"1,104",1,"12,876",197,"793,895"
Myanmar,Myanmar,"7,827",+535,133 ,+3,"2,085",,"5,609",,144,2,"224,383"
Zimbabwe,Zimbabwe,"7,725",,227 ,,"6,007",,"1,491",,518,15,"157,772"
Mauritania,Mauritania,"7,425",,161 ,,"7,028",,236,3,"1,588",34,"78,262"
Slovakia,Slovakia,"7,269",,41 ,,"3,888",,"3,340",17,"1,331",8,"423,095"
Mozambique,Mozambique,"7,262",,49 ,,"4,350",,"2,863",,231,2,"128,805"
Uganda,Uganda,"6,879",,69 ,,"2,961",,"3,849",,149,1,"460,690"
Jordan,Jordan,"6,042",,35 ,,"3,812",,"2,195",13,591,3,"1,112,679"
Malawi,Malawi,"5,746",,179 ,,"4,140",,"1,427",4,299,9,"51,456"
Cabo Verde,Cabo Verde,"5,412",,54 ,,"4,837",,521,,"9,710",97,"76,576"
Djibouti,Djibouti,"5,407",,61 ,,"5,338",,8,,"5,455",62,"75,166"
Jamaica,Jamaica,"5,395",,76 ,,"1,444",,"3,875",7,"1,820",26,"74,069"
Eswatini,Eswatini,"5,343",,108 ,,"4,693",,542,11,"4,594",93,"31,969"
Cuba,Cuba,"5,270",,118 ,,"4,582",,570,8,465,10,"561,746"
Nicaragua,Nicaragua,"5,073",,149 ,,"2,913",,"2,011",,764,22,
Hong Kong,Hong Kong,"5,050",,103 ,,"4,749",,198,12,672,14,"3,311,279"
Equatorial Guinea,Equatorial Guinea,"5,018",,83 ,,"4,509",,426,4,"3,551",59,"58,603"
Congo,Congo,"5,005",,89 ,,"3,887",,"1,029",,902,16,
CAR,CAR,"4,802",,62 ,,"1,830",,"2,910",2,990,13,"31,723"
Suriname,Suriname,"4,779",,101 ,,"4,560",,118,5,"8,130",172,"13,224"
Rwanda,Rwanda,"4,779",,27 ,,"2,995",,"1,757",,367,2,"481,283"
Slovenia,Slovenia,"4,694",,143 ,,"3,168",,"1,383",20,"2,258",69,"207,631"
Guadeloupe,Guadeloupe,"4,487",,42 ,,"2,199",,"2,246",24,"11,214",105,"47,049"
Angola,Angola,"4,363",,159 ,,"1,473",,"2,731",8,132,5,"65,951"
Georgia,Georgia,"4,140",,25 ,,"1,643",,"2,472",,"1,038",6,"571,486"
